timestamp,trip_id,route_id,schedule_relationship,vehicle_id,latitude,longitude
timestamp,trip_id,route_id,schedule_relationship,vehicle_id,latitude,longitude
timestamp,trip_id,route_id,schedule_relationship,vehicle_id,latitude,longitude
1635465736,475020,27,0,6230,40.4421501159668,-80.04993438720703
1635465735,1910020,59,0,6111,40.35219192504883,-79.85664367675781
1635465737,7853020,38,0,6231,40.38182830810547,-80.0435562133789
1635465725,2541020,51,0,6354,40.382938385009766,-79.97687530517578
1635465725,14733020,61C,0,6357,40.43537139892578,-79.9228515625
1635465715,4353020,60,0,6235,40.351715087890625,-79.8639907836914
1635465707,10709020,13,0,6106,40.447959899902344,-80.0020751953125
1635465731,10271020,71C,0,6468,40.44767379760742,-79.94940185546875
1635465721,8516020,81,0,6347,40.428558349609375,-79.97607421875
1635465722,6658020,36,0,6107,40.386451721191406,-80.05432891845703
1635465713,8772020,87,0,5933,40.45180892944336,-79.98147583007812
1635465712,7497020,61B,0,5814,40.439449310302734,-79.99727630615234
1635465728,14058020,28X,0,6362,40.41481399536133,-80.08338165283203
1635465716,566020,53L,0,6120,40.410526275634766,-79.912841796875
1635465731,10759020,61B,0,6240,40.40732192993164,-79.87559509277344
1635465734,2255020,51,0,6244,40.357032775878906,-79.98062896728516
1635465722,14009020,59,0,6126,40.41264343261719,-79.90839385986328
1635465738,8430020,87,0,6367,40.46199035644531,-79.93909454345703
1635465713,10578020,67,0,6360,40.43985366821289,-80.00479125976562
1635465731,11438020,2,0,5707,40.51243591308594,-79.95805358886719
1635465726,6331020,59,0,6117,40.382999420166016,-79.87543487548828
1635465715,12575020,71B,0,5940,40.4373664855957,-79.97869110107422
1635465725,3670020,93,0,6358,40.434593200683594,-79.94861602783203
1635465708,985020,51,0,6239,40.44200897216797,-79.99951934814453
1635465715,2687020,51,0,6131,40.40382385253906,-79.99016571044922
1635465696,13835020,64,0,6252,40.464385986328125,-79.95012664794922
1635465726,3840020,61C,0,6135,40.40871810913086,-79.89546203613281
1635465737,3680020,79,0,6256,40.46643829345703,-79.86865997314453
1635465730,6588020,Y47,0,6134,40.41653060913086,-80.01187133789062
1635465714,11124020,21,0,6016,40.542179107666016,-80.17863464355469
1635465726,5785020,28X,0,6258,40.44447708129883,-79.94757843017578
1635465723,5842020,P1,0,3420,40.45684051513672,-79.93220520019531
1635465701,5899020,Y46,0,6250,40.292327880859375,-79.91558074951172
1635465703,11462020,77,0,6370,40.44023895263672,-79.9934310913086
1635465734,13661020,74,0,5718,40.460609436035156,-79.92254638671875
1635465735,4748020,P1,0,3413,40.443572998046875,-79.99278259277344
1635465730,6752020,77,0,6369,40.45624542236328,-79.7597427368164
1635465739,278020,31,0,5712,40.431396484375,-80.05325317382812
1635465738,14384020,86,0,3419,40.46350860595703,-79.95250701904297
1635465738,14158020,67,0,6142,40.444156646728516,-79.8641128540039
1635465709,10501020,P68,0,6263,40.443363189697266,-79.9961929321289
1635465730,4914020,89,0,6267,40.45941925048828,-79.920166015625
1635465733,720020,88,0,6269,40.44312286376953,-79.997314453125
1635465724,1705020,P68,0,6147,40.431461334228516,-79.78810119628906
1635465739,1805020,77,0,6261,40.440208435058594,-79.99897766113281
1635465739,7135020,61D,0,3306,40.432708740234375,-79.923095703125
1635465728,5416020,67,0,6139,40.44582748413086,-79.7476577758789
1635465735,8906020,82,0,5722,40.46047592163086,-79.91333770751953
1635465733,4583020,61C,0,3309,40.408382415771484,-79.90833282470703
1635465724,13620020,71D,0,6153,40.448875427246094,-79.93270111083984
1635465723,2549020,59,0,6034,40.398956298828125,-79.8856201171875
1635465718,2512020,71A,0,7002,40.453304290771484,-79.9472885131836
1635465722,1246020,61D,0,6033,40.43851089477539,-79.98407745361328
1635465733,848020,64,0,6154,40.443363189697266,-79.92034912109375
1635465732,8941020,71D,0,6159,40.43865203857422,-79.98751831054688
1635465714,6399020,59,0,6029,40.406761169433594,-79.84087371826172
1635465725,5115020,48,0,6028,40.42100524902344,-80.00548553466797
1635465730,10541020,54,0,5732,40.461544036865234,-79.94883728027344
1635465709,5682020,Y46,0,6042,40.41519546508789,-80.01152801513672
1635465730,9896020,P78,0,3330,40.449710845947266,-79.89181518554688
1635465735,2883020,53L,0,6040,40.36008071899414,-79.90775299072266
1635465732,13916020,71C,0,3329,40.44710922241211,-79.89485931396484
1635465722,682020,71A,0,3327,40.454315185546875,-79.94389343261719
1635465720,9125020,P1,0,3326,40.45773696899414,-79.91236114501953
1635465726,5963020,61A,0,3204,40.41387939453125,-79.87198638916016
1635465726,12526020,61D,0,3201,40.434940338134766,-79.9228286743164
